序號,區域,店家,報名組別,營業地址,Longitude,Latitude
1,中山區,滿堂紅頂級麻辣鴛鴦鍋,經典鍋物組(799以下),臺北市中山區松江路185號2樓,121.5331715,25.05724095
2,中山區,鎰鼎火鍋,饗宴鍋物組(800以上),臺北市中山區松江路38巷2號1樓,121.5326471,25.04828511
3,中山區,?極宴-私廚鍋物,饗宴鍋物組(800以上),臺北市中山區長安東路二段218號,121.5422927,25.04894453
4,中山區,泰滾_泰式火鍋,饗宴鍋物組(800以上),臺北市中山區南京東路二段178號B1,121.5353367,25.05262148
5,中山區,侯黑鍋物HoHey HotPot,經典鍋物組(799以下),臺北市中山區四平街19號,121.5313514,25.05448272
6,中山區,土狗樂市,經典鍋物組(799以下),臺北市中山區建國北路2段3巷17號,121.5378786,25.05379388
7,中山區,肉老大頂級肉品涮涮鍋,經典鍋物組(799以下),臺北市中山區錦西街11號,121.5211918,25.0612523
8,中山區,如嬌　花膠雞．鍋物,饗宴鍋物組(800以上),臺北市中山區民權東路三段60巷9號1樓,121.5425161,25.0617422
9,中山區,火鍋106-粵式豬肚煲鍋,饗宴鍋物組(800以上),臺北市中山區吉林路18號1樓,121.5302127,25.05160497
10,中山區,宣牛溫體牛肉火鍋,經典鍋物組(799以下),臺北市中山區復興北路292號,121.5436193,25.06030601
11,中山區,享鍋酒館,饗宴鍋物組(800以上),臺北市中山區中山北路二段74號,121.5226357,25.05770879
12,中山區,汆食 作伙鍋,經典鍋物組(799以下),臺北市中山區中山北路三段26號1樓,121.5219642,25.06627328
13,中山區,手工殿麻辣鍋物,饗宴鍋物組(800以上),臺北市中山區長安東路一段53巷1-1號1樓,121.5265534,25.05046576
14,中山區,蔡記隆府龍頭寺老灶火鍋,饗宴鍋物組(800以上),臺北市中山區新生北路2段58巷6號,121.5265963,25.05120445
15,中山區,好食多涮涮鍋南西店,饗宴鍋物組(800以上),臺北市中山區南京西路5-1號B1,121.521572,25.05352023
16,萬華區,食焱廠創意鍋物 DELECTABLE HOT POT LAB,經典鍋物組(799以下),臺北市萬華區昆明街146號1樓,121.5046808,25.04331516
17,萬華區,喜多鍋活體海鮮鍋物,饗宴鍋物組(800以上),臺北市萬華區武昌街二段124-1號1樓,121.5040691,25.04630255
18,萬華區,新千葉火鍋-西門店,經典鍋物組(799以下),臺北市萬華區峨嵋街52號7樓,121.505634,25.04452102
19,萬華區,築間幸福鍋物 台北西門町店,經典鍋物組(799以下),臺北市萬華區昆明街92-1號2樓,121.505021,25.04593317
20,萬華區,打狗霸,饗宴鍋物組(800以上),臺北市萬華區昆明街46號,121.5057929,25.04748348
21,萬華區,前鎮水產,饗宴鍋物組(800以上),臺北市萬華區昆明街46號,121.5057929,25.04748348
